MA MC MH la2 la3 la4 la5 laL m22Squared 
212.315 226.081 84.9739 0.89802 2.17661 -0.825021 -0.625568 0.726021 29494.8 
217.123 274.418 173.467 3.16251 0.476812 -1.21252 -0.281769 -1.01748 -121756 
497.103 406.55 404.252 4.10742 1.21143 1.32141 -1.38297 1.14986 -257255 
950.934 959.267 916.863 3.35481 3.48689 -1.57765 -1.05159 0.857655 -1.62937e+06 
224.168 218.21 90.1949 2.04897 2.39367 -0.608846 -0.695954 1.08887 49623.9 
755.24 749.359 569.489 2.77176 8.00205 -3.77374 -4.0662 0.162104 -638826 
555.108 575.31 292.751 1.16358 9.63376 -4.43047 -3.67575 1.52753 -78965.9 
638.144 652.941 355.577 1.05935 11.5553 -5.27135 -4.63997 1.64395 -153384 
86.2899 130.798 26.9564 4.43216 0.4597 -0.430359 -0.111034 -0.0816921 -6396.97 
730.285 501.532 499.992 1.64802 1.28228 4.63084 -4.68181 1.23131 -425470 
693.712 691.868 492.043 2.78278 7.00323 -3.86705 -3.95152 -0.815335 -533554 
269.265 321.934 267.921 2.05137 1.69629 -1.041 -0.0119275 0.643363 -104630 
725.41 779.406 674.719 3.94806 5.72047 -3.8582 -1.17282 0.68945 -868767 
430.206 469.921 392.643 1.23208 3.74616 -1.6922 -0.510761 1.5432 -214948 
679.37 677.829 5.64605 4.01174 14.1936 -7.55716 -7.62628 -0.989839 -59964.8 
536.83 546.54 207.132 0.0447915 9.49659 -4.40087 -4.05318 1.04254 -22717.4 
407.016 406.844 106.369 4.4647 5.62046 -2.54591 -2.55053 0.524027 9083.34 
375.028 359.023 356.992 3.32285 1.39608 0.170098 -0.218176 1.348 -173310 
863.069 877.815 632.253 2.20014 11.784 -6.55177 -5.70337 -0.471124 -827997 
602.969 611.286 535.201 3.51637 3.96293 -1.60833 -1.27456 1.08003 -507520 
864.179 874.708 422.651 1.94069 18.0731 -9.9939 -9.38878 -1.30954 -436516 
474.234 485.291 372.808 2.07491 2.97346 -1.77028 -1.41966 -0.21648 -291073 
475.998 465.437 347.912 0.17193 2.48536 -1.41525 -1.74386 -0.673745 -282858 
821.768 842.744 750.893 3.66015 4.53402 -2.99576 -1.84186 -0.303593 -1.14605e+06 
858.122 881.807 626.354 1.72903 14.0703 -7.0473 -5.68533 1.33766 -703689 
455.517 459.972 271.078 1.65383 3.72969 -2.34927 -2.2145 -0.834089 -197442 
812.804 869.155 772.283 2.86954 5.40337 -4.19375 -1.06135 0.148266 -1.18387e+06 
931.898 940.864 746.759 3.40057 12.8232 -5.69053 -5.13558 1.99708 -994443 
840.577 857.879 735.852 3.02456 7.67312 -3.69928 -2.72808 1.24576 -1.00757e+06 
256.465 278.588 132.328 0.758631 2.5513 -1.18873 -0.797531 0.565039 -827.74 
773.754 772.048 750.435 2.15598 1.75627 -0.500179 -0.587341 0.668747 -1.08583e+06 
544.617 587.098 517.695 3.86356 3.3674 -2.06148 -0.472581 0.833338 -485587 
431.83 452.903 316.256 2.02092 2.71798 -2.04488 -1.42869 -0.755593 -245762 
782.582 785.446 643.337 2.49284 5.83758 -3.42943 -3.28097 -0.872825 -880586 
765.95 775.507 242.422 2.1705 17.711 -9.21034 -8.7235 -0.222873 -131024 
460.03 471.301 73.3221 0.846451 8.5913 -3.75515 -3.40821 1.42795 75661.3 
709.253 753.159 697.519 1.25286 3.47087 -2.39484 -0.272773 0.80326 -924455 
792.578 791.872 762.797 0.290783 0.0407903 -0.728477 -0.765415 -1.4531 -1.25166e+06 
928.382 957.897 771.024 1.92171 10.0065 -6.25888 -4.41894 -0.671305 -1.22958e+06 
733.496 742.143 351.494 0.415077 13.1316 -7.2706 -6.8489 -0.987884 -306878 
879.697 878.005 444.808 0.853616 17.7403 -9.42009 -9.51835 -1.19814 -468214 
557.39 416.247 414.831 2.76681 0.0911181 2.25138 -2.29029 0.0522133 -341010 
663.894 664.981 208.618 1.17406 13.7591 -6.61184 -6.56413 0.583164 -51751.8 
961.941 959.257 608.901 3.81571 18.0873 -8.99359 -9.164 -0.0702835 -745775 
435.636 444.673 429.706 2.09367 1.07977 -0.347714 -0.0848045 0.647247 -330125 
555.351 559.847 521.972 0.176517 2.79552 -0.759928 -0.594224 1.44137 -457683 
831.211 870.26 731.426 1.63989 9.20365 -4.77241 -2.57664 1.8546 -957736 
918.915 939.041 869.877 2.87204 4.54905 -2.68538 -1.44952 0.41416 -1.48831e+06 
937.762 942.773 885.449 4.18537 3.34911 -1.88752 -1.57605 -0.114458 -1.57497e+06 
169.688 158.48 95.1745 3.13757 1.27758 -0.20457 -0.326128 0.746881 27081.9 
952.393 956.053 688.299 4.42463 16.5336 -7.39087 -7.16003 1.98272 -827525 
927.607 929.51 323.083 4.16527 26.3288 -12.6106 -12.4938 1.22448 -134665 
980.768 986.325 910.127 1.53693 4.61505 -2.56854 -2.20724 -0.160721 -1.66639e+06 
331.135 388.905 305.85 3.83411 2.54079 -1.64089 -0.266156 0.633748 -148736 
589.84 517.819 512.025 3.92996 -0.503452 1.21963 -1.41684 -0.700662 -566740 
714.254 728.093 460.855 0.160417 9.57768 -5.5802 -4.92054 -0.923056 -480635 
396.54 460.484 374.176 0.279784 2.25908 -2.09595 -0.28483 -0.121697 -287379 
900.028 902.198 341.878 1.39426 21.627 -11.5836 -11.4543 -1.41094 -319145 
590.264 597.883 375.262 4.17163 8.01685 -3.72952 -3.43034 0.856982 -229782 
757.74 749.043 660.443 0.990733 2.96896 -1.84705 -2.28015 -1.15824 -942463 
851.599 893.534 825.106 2.77942 4.78761 -3.15263 -0.734029 0.900949 -1.30708e+06 
986.403 824.244 822.043 0.16096 -0.488261 4.79194 -4.91169 -0.608008 -1.3883e+06 
250.243 244.989 185.125 0.181352 1.31506 -0.38249 -0.468474 0.464096 -40457.4 
377.171 344.834 311.473 0.371599 2.13874 0.0240094 -0.747617 1.41513 -108393 
334.2 328.575 50.0078 1.03687 3.57101 -1.68108 -1.8043 0.0856374 180.883 
