S	T
-0.00809014	0.00575463
-0.00547984	0.0662232
-0.00672063	-0.0112505
-0.0170871	-0.0181712
-0.0187095	-0.0294125
-0.0228763	0.039187
-0.0220728	0.0225763
-0.0161832	0.0487664
-0.00346211	0.00527151
-0.0106269	0.0824392
-0.0158741	-0.0180439
-0.0123079	0.0689296
-0.00984416	0.070518
-0.00466023	0.0747119
-0.00308621	-0.017327
-0.0178549	0.0164205
-0.00855786	0.0294371
-0.0094592	0.0582657
-0.0222695	0.0101127
-0.00471061	0.0841417
-0.00411498	0.0516153
-0.00317915	-0.0231731
-0.00236647	0.0158462
-0.0164036	0.102377
-0.0147975	0.0620815
-0.00932813	-0.023586
0.00692922	-0.0120445
-0.0186924	0.0883412
-0.00743862	-0.023716
-0.00698769	0.0228184
-0.00738013	0.0679456
-0.020032	0.0333208
-0.021373	0.103081
-0.0186778	0.073402
-0.0183496	-0.0067718
0.00268817	-0.0104255
-0.00225803	-0.00785629
-0.0102604	0.0578211
-0.0185459	0.0597843
-0.00974497	0.0796654
-0.0149535	0.107609
-0.0186013	0.0033243
-0.0221499	0.0323726
-0.0112555	0.0844946
-0.0112649	-0.021831
0.00874144	-0.00208125
-0.0141335	0.101593
-0.00597086	0.0988109
-0.0088862	0.0663774
-0.00758634	-0.0106292
-0.0225484	0.0966368
-0.014945	0.0019544
-0.00832243	0.0437843
-0.0154172	0.0391642
-0.00143761	-0.0122339
-0.00143918	0.00184339
-0.00447452	-0.00309867
0.00984304	-0.0124106
-0.0194223	0.10444
-0.0108586	0.041845
-0.0117324	0.0349399
-0.00914084	0.104108
-0.00640021	0.081839
-0.00244118	0.0208872
0.00234782	-0.0162454
-0.0125144	0.094141
0.00109603	-0.000899509
-0.00427554	0.0291742
0.00476691	-0.0161553
-0.0218206	-0.00384081
-0.00162876	-0.000928745
-0.00575955	0.0417093
-0.0189592	0.0362532
-0.0338629	0.0305371
-0.00444274	-0.0141319
-0.0283555	0.0133193
-0.0195985	0.0682071
-0.00591955	-0.000570573
0.00560455	-0.00790154
-0.0232225	0.099501
-0.0182696	-0.029724
-0.0043851	-0.0167264
-0.0224133	0.00725342
-0.00626712	0.0954225
-0.0047419	0.065503
-0.00183631	-0.0033456
-0.0190849	0.0408782
-0.00648777	0.0598365
-0.00304887	0.0340759
-0.0213243	-0.0187577
-0.0220519	-0.00792947
-0.0140597	0.00937809
-0.00430329	0.0441994
-0.00471375	-0.00553564
-0.0206294	0.0921439
-0.0108463	0.0471595
-0.00509959	0.0430016
-0.0175689	0.0113016
-0.00318471	0.0104878
-0.0174864	0.0951685
-0.0091347	0.0152723
-0.0149789	0.0902345
-0.0223443	0.0486196
-0.0137695	0.0237638
-0.00426567	-0.0161001
-0.0039124	0.00339013
-0.0260696	0.0574079
-0.013326	-0.0183099
-0.0174027	0.0720466
-0.00657619	0.00598857
-0.0234257	0.0733229
-0.00649516	0.029021
-0.0325505	0.0546671
-0.00975233	0.0307439
-8.9414e-05	-0.00389051
-0.00313608	0.012345
-0.00838724	0.0763565
-0.0203207	0.022089
-0.00642186	0.0636021
-0.00486805	-0.0241049
-0.0106081	0.0517331
-0.0076237	0.0136671
-0.00593797	-0.0100548
-0.0307227	0.0466102
-0.0168541	0.0570681
-0.0120101	0.00614828
-0.0105652	0.00852704
-0.00394834	0.0145251
-0.0119338	0.0823181
-0.00923721	0.0557973
-0.0175708	0.000478323
-0.00904134	-0.00514762
-0.0699016	0.0319764
-0.0134502	-0.0119809
0.00113281	-0.0114048
-0.0222475	0.0228273
-0.00081919	-0.00184064
-0.00169401	0.0112765
-0.00625431	-0.0252696
-0.00673319	0.0471696
-0.0126992	0.0822722
-0.000420155	-0.0200464
-0.00602872	-0.00463616
-0.0122767	0.0464243
-0.00723054	0.0424626
-0.00102964	-0.0206035
0.00213798	-0.00569034
-0.00616457	0.0607926
-0.00243845	-0.0196766
-0.0110627	0.0143336
-0.00668355	0.0642574
-0.0226607	0.0388462
-0.0112696	0.0156679
-0.00634789	0.0645195
-0.0145329	0.0805458
-0.0147363	0.0953387
0.000702067	-0.00660078
-0.00678696	0.103427
-0.00145493	-0.0153118
-0.0165955	0.0962147
-0.00903602	0.0278495
-0.00339289	-0.0135493
-0.0183217	-0.0144154
-0.00850538	0.0598507
-0.00503071	0.00687353
-0.00272335	0.00432245
-0.0171639	0.103257
-0.0173644	0.0485185
-0.0167794	0.0679086
-0.00643169	0.0592789
-0.0209052	-0.0165235
-0.0127562	0.0873096
0.000847052	-0.0140717
-0.0146767	0.0207727
-0.00376404	0.0444696
-0.00194067	0.0135136
-0.00796776	0.114265
-0.0151425	0.0685856
-0.00950893	0.0968044
-0.0130464	0.0668609
-0.0028315	0.0273241
-0.0102331	0.0433965
-0.000706728	-0.0138737
-0.00622606	-0.000835451
-0.022514	0.0701255
-0.0081936	0.0377973
-0.0148017	0.103696
-0.00962039	0.0459393
0.00522586	-0.0103755
-0.00848341	0.0661481
-0.00505491	0.0997354
-0.0090795	-0.0155692
4.17545e-05	-0.00124711
-0.0156354	0.0999315
-0.0235387	0.0993003
-0.00711803	-0.00639217
-0.00845255	0.04568
-0.00570514	0.0204388
-0.00199141	0.0104467
-0.000174777	6.15688e-05
-0.0158218	0.0809991
-0.00690864	0.0412107
-0.0148294	0.00854708
-0.00366225	0.00507763
-0.0051958	0.0938399
-0.0062814	0.0947583
0.00668964	-0.00878217
-0.00294513	-0.0171188
-0.0199603	0.0285705
-0.0181325	0.0217515
-0.00527566	0.115648
-0.00492764	0.0246042
-0.00328812	0.017747
-0.0130027	0.101296
-0.00945024	-0.000702592
-0.0115387	-0.0120164
-0.0208063	0.0470109
-0.0355919	0.0555923
-0.01307	0.0819878
-0.0239561	0.0532658
-0.0357767	0.0703404
-0.0113545	0.0635884
-0.0207131	-0.00985926
-0.00797819	0.0337693
-0.00669649	0.0560435
-0.0274521	0.0253023
-0.0045898	0.0685405
-0.00917195	0.0214915
-0.00656594	0.0221364
-0.00697309	0.0363791
-0.0336042	0.0432634
-0.0185771	-0.00993444
-0.00758915	0.00129371
-0.00915459	0.0431288
0.0045301	-0.0183341
-0.0168654	0.0926655
-0.00358802	0.0475511
-0.00494414	-0.017656
-0.00111431	0.00195911
-0.0194697	0.103988
-0.018528	0.097485
-0.0147111	0.0649013
-0.00637471	0.0646625
-0.00634555	0.0289997
-0.0105458	0.0786441
0.00636997	-0.0121866
-0.0163115	0.0655951
-0.0139131	0.082905
-0.0178486	0.0788324
-0.00261883	-0.0229234
0.00226511	-0.00158376
-0.0166073	-0.013019
-0.0156493	0.0279217
-0.00608477	-0.0125354
-0.0204361	-0.00820728
-0.0200847	0.0507573
-0.026176	0.0460326
-0.0127066	0.0441039
-0.0215237	-0.0168052
-0.00403609	0.0768984
-0.0102101	0.0560911
-0.00934963	0.0931351
-0.0115792	0.083436
-0.00576939	0.0205559
-0.00246483	0.0210319
-0.00675905	0.0369
-0.0133101	0.0751375
0.0161621	-0.00894214
-0.00511189	0.109129
-0.00600803	0.0963037
-0.0180592	0.0861479
-0.0184121	0.0808447
-0.00172863	0.00261304
0.000603679	-0.0102647
-0.00275989	0.0197648
