MA MC MH la2 la3 la4 la5 laL m22Squared 
692.923 394.264 418.012 80.5502 161.547 5.68424 -5.04673 162.185 9.46531e+06 
255.021 253.079 171.757 296.703 -89.8419 -0.554591 -0.587208 -90.9837 -5.56497e+06 
974.535 981.38 31.3182 -26.1548 -323.225 -16.1199 -15.6775 -355.022 -2.14865e+07 
118.465 158.35 158.907 460.866 -369.626 -0.179522 0.185367 -369.62 -2.24184e+07 
711.614 858.174 815.562 -273.688 409.058 -4.98033 2.62321 406.701 2.32816e+07 
251.13 347.373 339.279 321.162 -242.598 -1.04368 0.860006 -242.781 -1.49224e+07 
201.823 166.596 375.679 -396.765 -246.537 2.08802 1.6591 -242.79 -1.49749e+07 
701.109 668.647 726.119 -14.896 441.733 2.05938 0.589836 444.382 2.58377e+07 
840.712 837.39 289.678 -288.007 -465.069 -10.1086 -10.2929 -485.47 -2.95465e+07 
412.672 517.401 501.718 -289.987 -301.338 -1.87369 1.34549 -301.866 -1.87712e+07 
642.442 457.213 465.665 -332.776 -244.613 3.49474 -3.23696 -244.355 -1.52211e+07 
947.865 970.726 984.409 -349.433 -248.223 -0.282736 1.16687 -247.339 -1.69061e+07 
828.664 619.451 627.314 -59.187 -114.394 5.16834 -4.84436 -114.07 -7.69011e+06 
765.599 777.153 835.309 -431.245 339.37 1.25505 1.84412 342.47 1.93294e+07 
465.206 462.817 946.612 74.8575 139.965 11.3043 11.231 162.5 8.0417e+06 
379.626 575.168 545.932 -494.595 -107.398 -3.62679 2.54356 -108.481 -7.16094e+06 
801.516 771.218 852.842 418.034 -52.7231 2.97793 1.40313 -48.3421 -4.38015e+06 
735.894 418.977 441.899 -161.337 148.417 6.37405 -5.72188 149.069 8.63051e+06 
59.7763 29.523 113.999 -279.573 -270.691 0.244987 0.155702 -270.29 -1.63829e+07 
839.808 881.228 780.275 -459.768 273.64 -3.94969 -1.59376 268.097 1.50065e+07 
582.367 612.539 594.569 -7.65612 39.6865 -0.95421 0.237328 38.9696 1.65126e+06 
788.45 416.693 417.764 -46.0132 265.914 7.4181 -7.38856 265.944 1.57448e+07 
498.172 480.498 756.534 74.1528 297.702 5.92839 5.35675 308.988 1.7554e+07 
