MA		MC		MH		la2		la3		la4		la5		laL		m22Squared		
302.113		287.382		872.739		58.5245		65.5296		11.3651		11.0781		87.9727		3.80041e+06		
702.164		710.022		258.548		242.411		187.927		-7.40931		-7.04256		173.475		1.03643e+07		
435.329		460.636		379.267		-265.415		111.568		-1.50401		-0.754638		109.31		6.32729e+06		
266.587		229.777		406.356		398.355		446.919		2.15809		1.55424		450.631		2.69401e+07		
62.1705		8.84088		322.675		378.461		-418.538		1.7818		1.65665		-415.1		-2.53284e+07		
32.3305		79.3048		96.2603		5.97242		120.686		-0.0374641		0.135845		120.785		7.29088e+06		
529.304		543.174		354.473		17.8657		491.098		-3.04484		-2.55324		485.5		2.91292e+07		
59.5646		51.4103		41.7384		-377.718		-217.563		6.59502e-05		-0.0298408		-217.592		-1.31713e+07		
185.71		150.685		183.591		-75.7468		-36.7827		0.376459		-0.0129292		-36.4192		-2.27136e+06		
216.973		521.177		512.07		120.731		-368.245		-3.86604		3.55507		-368.556		-2.28279e+07		
686.351		672.265		623.665		-402.083		-48.5848		-0.72453		-1.357		-50.6663		-3.84404e+06		
892.866		934.459		934.126		140.939		223.121		-1.26626		1.24566		223.1		1.1756e+07		
456.705		435.331		747.772		-51.9015		-202.749		6.42338		5.79322		-190.532		-1.26486e+07		
230.738		215.12		913.193		-96.4052		-3.57219		13.1305		12.9004		22.4588		-308728		
249.324		422.827		427.806		-249.206		242.434		-1.8571		1.99708		242.574		1.43136e+07		
773.835		267.639		277.033		-325.219		226.043		8.79612		-8.62703		226.212		1.35359e+07		
214.524		142.906		176.416		-105.795		-64.2201		0.599827		-0.246186		-63.8665		-3.92719e+06		
683.755		709.277		653.979		77.162		1.15831		-1.83321		-0.658227		-1.33313		-936052		
553.634		577.103		529.155		-164.831		-204.357		-1.31505		-0.437986		-206.11		-1.3033e+07		
368.832		334.157		316.892		-27.8968		310.3		0.217079		-0.588543		309.928		1.85548e+07		
3.57863		113.938		106.525		-290.834		87.9279		-0.241317		0.187302		87.8739		5.29508e+06		
365.05		495.628		494.49		-200.747		-408.882		-1.87573		1.8385		-408.919		-2.52352e+07		
825.25		764.416		767.022		-282.859		-84.4841		1.66396		-1.53205		-84.3522		-6.2813e+06		
743.992		873.926		824.169		142.219		-392.249		-4.86998		2.07764		-395.041		-2.52648e+07		
335.152		355.694		31.5338		-417.499		195.083		-2.30873		-1.83972		190.935		1.15526e+07		
239.128		372.106		371.061		314.202		-54.2205		-1.35596		1.33029		-54.2462		-3.55813e+06		
364.971		336.064		588.912		-9.09033		430.692		4.19962		3.52988		438.421		2.58379e+07		
