S	T
0.0120073	0.0360597
-0.0234148	0.0866369
-0.0150198	0.0627332
0.0440162	0.139318
-0.00374717	0.0302121
-0.00892999	0.0342774
-0.00212363	0.00783586
0.00134188	0.00936253
0.0756389	0.0816372
0.0655064	0.123039
0.0093388	0.047989
0.0101246	0.120342
-0.00369611	0.0046867
-0.00293668	-0.00300054
0.0352977	0.0273416
-0.0230031	0.0781713
0.00266641	0.0234744
0.19801	0.184114
0.0438234	0.117022
0.0193466	0.0426381
-0.00542063	-0.015681
0.00995277	0.0957098
-0.02277	0.0714879
0.129159	0.17045
-0.0301117	0.0033807
-0.0258587	0.0691219
0.0887913	0.110088
0.0494142	0.118444
0.0729459	0.152561
0.00578739	0.10437
-0.00799482	0.0377096
-0.0118116	0.011009
0.00521168	0.0755217
-0.0190957	0.0552843
-0.0102013	0.0166303
-0.015458	0.0460352
-0.0073027	-0.0158382
-0.00730406	0.0821753
-0.0149756	0.0121897
-0.0102339	0.0228896
-0.0265758	0.0526788
0.00202696	0.00111706
-0.00719341	0.102409
0.0403473	0.0439195
-0.0183569	0.0381122
0.0395713	0.0254057
-0.0133032	0.0800031
-0.0162706	-0.0282325
-0.0113299	0.099855
-0.00246326	0.0256282
-0.00276705	0.0210667
-0.0228264	0.0943256
0.00430552	0.0160379
0.0238092	0.117998
-0.00759152	0.0393025
0.00973322	0.0047669
-0.0111214	0.0713311
-0.00632778	0.102477
-0.00473431	0.111553
-0.0206866	-0.0291764
-0.0152025	-0.0122922
0.0313648	0.0836362
0.00885736	0.0103576
0.0136727	0.042129
0.0104946	0.0746099
-0.013707	0.101398
0.0458126	0.153959
0.00199188	0.0146673
-0.00899285	0.103446
0.0402602	0.0693138
0.0335236	0.14368
0.00818012	0.0722345
-0.0121337	0.0480809
0.0714267	0.137497
0.00881843	0.0542844
-0.00179868	0.00498736
-0.0218635	0.0289456
-0.0105825	0.0558363
0.00599657	-0.0132896
-0.0048971	0.05123
-0.00253436	-0.00899924
0.0137789	0.0868332
-0.00934566	-0.0103415
0.00774242	0.105464
0.00143851	-0.0121863
-0.00182357	0.00378367
-0.00167301	0.00919917
0.0041423	0.051308
-0.0162616	0.0719812
0.037743	0.129056
-0.00894795	0.0203516
0.0108943	-0.00908541
-0.0102461	-0.0200555
0.00684359	-0.000651877
-0.00589106	0.0770343
-0.0158737	-0.0310231
-0.01808	0.0650125
0.00565091	0.089417
0.0144921	0.0327465
0.0527384	0.110708
0.00134215	-0.00480628
0.0196819	0.130206
0.00176496	0.0132962
0.0853713	0.151543
0.0335217	0.00927487
0.00428445	0.0225621
0.0220571	0.0189582
0.0115311	-0.00979704
-0.0163347	0.018524
0.245043	0.188815
-0.00701825	0.0753828
0.00909271	0.0984244
0.0684775	0.115362
0.0426735	0.150589
-0.0112353	0.0867142
0.161632	0.149271
0.00338822	0.00747879
0.00271355	-0.0179194
-0.0107043	0.00368912
0.161716	0.167513
0.0352577	0.0811496
-0.00651704	-0.000112292
-0.0176803	0.00304094
-0.00959296	0.0321547
0.042535	0.136316
0.0144439	0.123661
-0.00484326	0.0867484
0.0147053	0.065788
0.0366406	0.0135267
0.0324315	0.0893778
-0.0253145	0.04598
0.0225826	0.0349981
0.0232487	0.0279327
0.0382977	0.0161441
-0.00531832	0.0200788
0.0483047	0.0340741
0.000454449	-0.0108937
0.0031926	0.0359968
-0.00161467	-0.0124418
0.0169511	0.0591688
0.138388	0.0938491
-0.0206903	-0.027624
0.00195068	-0.0175719
-0.0119725	0.0786654
-0.00471686	0.00291081
0.00544801	0.00107437
0.00624824	0.0553397
-0.00390294	0.0366595
-0.00408563	0.0204982
-0.00499996	0.0352886
0.00320318	-0.005194
-0.0121849	0.0107304
-0.0190101	-0.0147294
0.00725619	0.0817618
-0.00729798	-0.00683518
-0.00632705	0.0602982
-0.00278035	-0.0202223
-0.0101894	-0.0064809
0.00289922	0.0208476
-0.0105832	-0.00945442
-0.0338955	0.050734
0.0256743	0.026757
0.0659954	0.0370926
-0.0056678	0.0646729
-0.00200668	0.0101886
-0.0219466	0.0760232
0.00685706	0.024894
0.0758363	0.0348723
0.00829855	0.128385
-0.0184522	0.0820365
0.0227121	0.0614109
-0.0259144	0.0556263
0.0821823	0.0678408
0.016542	0.0198832
-0.00381383	0.00385014
0.00529359	0.063289
0.0208447	0.114538
0.00713551	0.0416543
-0.0113349	0.000536368
0.004797	0.0403602
0.051302	0.109087
0.0134239	0.119363
0.00100252	-0.000287381
0.0848367	0.10983
-0.00918085	0.0267045
-0.0196532	0.0845288
0.0870077	0.0867307
0.120076	0.188729
-0.0192292	0.101103
0.0111242	0.1082
0.011164	0.114368
0.0557275	0.0195981
-0.00765661	0.0838997
-0.00214437	-0.0184579
-0.00391643	-0.00467474
0.107447	0.174991
0.0634569	0.077839
0.0406578	0.100657
0.0417912	0.15291
-0.0071856	-0.00195282
0.00665254	0.114215
-0.00570139	0.0934227
0.0195453	0.105396
0.0117655	0.0348878
0.0111002	-0.0131379
0.000815218	-0.010801
-0.00566958	0.0261981
-0.00382265	0.0704924
-0.0202109	0.0972252
-0.0212628	0.0866122
-0.00318634	0.00296057
0.01437	0.0970453
0.00290453	-0.0085016
-0.00423459	0.0629575
-0.0125118	0.0288854
