mh MH MA MC la2 laL la1 la3 la4 la5 S T U
125.100000 840.791741 921.481237 955.331084 0.003093 0.089762 0.258609 6.888848 -4.449345 -2.349741 -0.004291 0.071398 0.000093
125.100000 94.964453 185.711611 439.324847 2.166114 0.489889 0.258609 6.570531 -5.659753 -0.420890 -0.060028 1.494406 0.024203
125.100000 654.120235 787.827308 836.160197 3.967528 0.028198 0.258609 8.994111 -5.780002 -3.185911 -0.007778 0.161559 0.000303
125.100000 482.847210 564.495184 665.375504 3.131338 -0.462399 0.258609 6.464137 -5.513466 -1.413071 -0.012704 0.337827 0.001107
125.100000 265.290191 275.594050 350.359158 0.997087 1.006364 0.258609 2.737233 -1.638775 -0.092095 -0.014089 0.116842 0.001412
125.100000 90.180945 368.887172 595.172949 3.726100 -0.146964 0.258609 11.291275 -9.324002 -2.114237 -0.045218 1.877354 0.013722
125.100000 550.202173 621.851809 694.740781 1.995694 0.209986 0.258609 6.156920 -4.559247 -1.387687 -0.009047 0.193693 0.000540
125.100000 169.324512 506.100227 610.652267 3.638916 0.102121 0.258609 11.478465 -7.617558 -3.758785 -0.027731 0.783535 0.004157
125.100000 425.332395 459.558200 548.458488 1.287030 0.809761 0.258609 4.772318 -3.462093 -0.500464 -0.011507 0.201220 0.000945
125.100000 345.591484 422.560369 579.801294 1.294681 0.935339 0.258609 8.098274 -6.185940 -0.976994 -0.021859 0.671325 0.003419
125.100000 430.360317 452.178894 689.497504 1.524630 0.123639 0.258609 9.714385 -9.272554 -0.318193 -0.023795 1.122466 0.004163
125.100000 297.389779 319.122669 399.313412 3.624411 0.364271 0.258609 2.711106 -2.125429 -0.221406 -0.013987 0.150110 0.001395
125.100000 222.117938 335.361325 607.474937 2.244429 1.487928 0.258609 12.053379 -9.522242 -1.043209 -0.040973 1.861452 0.011814
125.100000 177.586045 255.418491 574.970904 1.013257 0.391171 0.258609 10.274664 -9.326586 -0.556907 -0.051794 2.227974 0.018507
125.100000 168.345240 230.404817 599.282673 2.834318 0.730166 0.258609 11.662799 -10.523712 -0.408921 -0.058577 2.766084 0.023232
125.100000 68.773192 74.634100 173.451587 2.223859 -0.243000 0.258609 0.594984 -0.824095 -0.013889 -0.051960 0.183879 0.018366
125.100000 293.076357 506.332932 516.930482 1.882062 1.331868 0.258609 7.324445 -3.175482 -2.817094 -0.012677 0.042625 0.000229
125.100000 29.084167 299.592099 436.678685 1.922173 0.723042 0.258609 6.997164 -4.804931 -1.469191 -0.042263 0.861156 0.011530
125.100000 252.365763 429.059915 647.977314 3.176105 0.389841 0.258609 12.161475 -9.782013 -1.989621 -0.033239 1.539393 0.007649
125.100000 61.526838 234.182433 401.666973 3.122392 -0.316153 0.258609 4.890761 -4.363239 -0.843675 -0.048661 0.940280 0.015964
125.100000 745.067743 814.075641 940.586479 1.755275 0.595849 0.258609 11.488075 -9.114296 -1.777930 -0.009974 0.454885 0.000709
125.100000 418.110941 469.648216 576.524185 2.005754 0.751833 0.258609 5.959162 -4.451287 -0.756043 -0.013950 0.310718 0.001387
125.100000 274.851730 558.109813 635.782823 3.778400 -0.386022 0.258609 10.476439 -6.963606 -3.898855 -0.020755 0.495523 0.002113
125.100000 199.378503 300.600786 322.211229 3.338604 0.663303 0.258609 2.780703 -1.281108 -0.836292 -0.013229 0.048155 0.000674
