MA,MC,MH,la2,la3,la4,la5,laL,m22Squared,
370.339,387.534,228.012,0.981805,4.37793,-1.83794,-1.40726,1.13273,-35431,
361.274,388.695,246.318,1.9664,4.38541,-1.83384,-1.15418,1.3974,-36779.9,
472.782,547.792,463.971,3.78721,4.18775,-2.66642,-0.136382,1.38495,-346727,
857.44,864.124,738.21,4.14909,5.71498,-3.52406,-3.14379,-0.952872,-1.14757e+06,
432.616,443.547,306.689,4.14239,4.20206,-1.85495,-1.53841,0.808694,-139177,
121.405,165.295,90.2817,3.15996,0.892047,-0.524741,-0.10887,0.258436,-662.072,
826.278,839.934,635.721,0.723258,11.7488,-5.35566,-4.60363,1.78956,-699987,
230.092,260.069,192.956,0.81479,1.35515,-0.745216,-0.259601,0.350336,-53263.4,
865.55,880.826,668.597,3.64815,10.312,-5.87466,-4.99296,-0.555608,-927668,
752.135,778.422,748.336,2.01974,1.57753,-1.42392,-0.0941947,0.0594126,-1.11642e+06,
903.707,949.766,893.358,2.03216,4.40853,-3.12866,-0.307308,0.972567,-1.53732e+06,
573.468,588.993,202.002,0.375788,10.0574,-5.35652,-4.76007,-0.0591902,-85191.8,
229.997,230.23,202.368,1.70468,2.38126,-0.200936,-0.1974,1.98293,38092.8,
405.579,407.881,28.0447,1.4258,5.37437,-2.76709,-2.7052,-0.09792,-7498.74,
914.516,932.15,842.464,1.17284,7.00468,-3.16816,-2.09191,1.74461,-1.31391e+06,
297.232,348.023,240.632,0.262381,3.57739,-1.58618,-0.503061,1.48814,-25751,
365.988,369.698,342.917,4.01084,-0.384052,-0.360461,-0.270269,-1.01478,-296594,
767.146,785.442,623.828,2.85561,7.69987,-4.233,-3.2942,0.172673,-767873,
797.881,815.531,771.256,3.47737,4.14342,-1.63152,-0.69036,1.82154,-1.07944e+06,
871.285,876.428,739.61,1.50521,7.83649,-3.80215,-3.50509,0.52924,-1.06202e+06,
934.933,954.474,796.849,3.20805,8.71154,-5.17177,-3.95155,-0.41179,-1.29486e+06,
708.093,715.266,684.387,2.12005,3.19949,-0.882919,-0.54548,1.77109,-829591,
644.859,649.941,379.378,2.91987,10.8327,-4.71074,-4.49328,1.62864,-189296,
660.242,669.704,646.461,3.74666,3.00835,-0.713456,-0.297565,1.99732,-714953,
633.908,637.861,387.691,1.93313,8.81061,-4.32265,-4.15651,0.331456,-280551,
586.151,636.167,511.611,2.70808,6.49945,-3.37263,-1.35216,1.77467,-416097,
790.339,791.154,740.228,2.00314,4.19488,-1.30999,-1.2674,1.61749,-997992,
602.846,617.581,497.756,3.56652,5.23212,-2.50557,-1.91127,0.81528,-446185,
358.011,375.76,209.583,3.7437,2.83106,-1.82257,-1.39214,-0.383651,-111067,
860.108,890.675,681.925,2.57216,10.1711,-6.30903,-4.54037,-0.678303,-971091,
160.582,185.441,125.286,2.13342,0.612112,-0.45102,-0.16673,-0.00563791,-31734.4,
615.626,669.38,600.935,0.99292,2.41442,-2.57814,-0.295339,-0.459067,-750027,
478.367,493.268,260.491,3.8306,6.70965,-3.13861,-2.66011,0.910939,-80584.6,
371.975,398.098,361.732,3.97742,2.12836,-0.789013,-0.124185,1.21516,-188164,
954.513,963.147,818.14,2.77847,8.9886,-4.5419,-3.99467,0.452029,-1.31135e+06,
238.919,273.953,133.864,3.12025,1.48838,-1.24097,-0.647141,-0.399727,-60029.2,
587.523,587.777,262.272,3.59355,9.53561,-4.57719,-4.56732,0.391095,-113906,
593.787,601.785,98.3837,2.46061,12.47,-5.98234,-5.66633,0.821351,30346.1,
562.774,615.409,520.801,3.03689,4.13863,-2.80106,-0.751561,0.586002,-507004,
915.694,958.508,893.679,3.54995,5.55322,-3.31016,-0.658244,1.58481,-1.50142e+06,
415.529,417.775,358.029,1.17467,3.1676,-0.796842,-0.735007,1.63575,-157381,
686.674,693.398,439.421,1.31271,9.22018,-4.90761,-4.60092,-0.288358,-403632,
781.01,787.233,510.378,1.05082,12.7485,-6.09769,-5.77518,0.875634,-467982,
713.157,720.249,659.348,1.16829,4.42019,-1.55633,-1.2204,1.64346,-770024,
166.365,196.443,161.36,3.3571,1.9484,-0.387753,-0.0271045,1.53355,40729.8,
295.516,325.278,283.749,2.75904,2.05039,-0.723262,-0.112629,1.2145,-87530.6,
813.502,822.595,602.33,3.34053,10.1541,-5.43226,-4.94056,-0.218708,-738839,
589.204,634.008,587.199,2.30615,1.70392,-1.85024,-0.0389753,-0.185303,-700819,
546.595,548.439,342.536,2.97181,5.21581,-3.06488,-2.99813,-0.84721,-285932,
366.811,373.947,40.079,3.50031,3.66727,-2.37153,-2.19684,-0.901098,-57743.5,
758.475,769.852,487.396,0.546658,12.6808,-6.15548,-5.58083,0.944511,-417951,
